feature_name,importance
flightType_scaled,0.3737329191836561
distance_transformed,0.2519314856289474
time_transformed,0.22309712170521467
from_Florianopolis (SC),0.04959954306269701
to_Aracaju (SE),0.021402883876247242
to_Florianopolis (SC),0.014847001245789916
from_Sao Paulo (SP),0.011913958665787011
from_Brasilia (DF),0.009319208093771743
to_Sao Paulo (SP),0.007260651575471512
to_Natal (RN),0.006570893657081568
to_Salvador (BH),0.005987014001672871
to_Brasilia (DF),0.003368523836284309
to_Campo Grande (MS),0.0032540537468168746
from_Campo Grande (MS),0.0025385552390224993
from_Salvador (BH),0.0023106229072381336
from_Natal (RN),0.0022238517135667987
agency_Rainbow,0.00205591196829224
agency_CloudFy,0.002011213317299378
to_Rio de Janeiro (RJ),0.0017871529872742849
from_Aracaju (SE),0.0015928216783792299
agency_FlyingDrops,0.0009601003858045843
to_Recife (PE),0.000903761447139902
from_Rio de Janeiro (RJ),0.0007322209678356124
from_Recife (PE),0.0005645648619540224
dow_sin_scaled,2.5219850089764983e-05
day_of_month_scaled,3.539377486248542e-06
year_scaled,1.3845428851009274e-06
month_sin_scaled,7.977579040461328e-07
month_cos_scaled,7.844749622438679e-07
month_scaled,7.22404428773256e-07
day_of_week_scaled,6.866120513067062e-07
dow_cos_scaled,5.270184466050583e-07
quarter_scaled,1.8509590191601554e-07
is_weekend_scaled,1.1711259899633552e-07
